province,sigungu,pilot_start,pilot_planned_end,source
광주광역시,서구,2023-07-01,2025-12-31,보건복지부 노인 의료돌봄 통합지원 시범사업
광주광역시,북구,2023-07-01,2025-12-31,보건복지부 노인 의료돌봄 통합지원 시범사업
대전광역시,대덕구,2023-07-01,2025-12-31,보건복지부 노인 의료돌봄 통합지원 시범사업
대전광역시,유성구,2023-07-01,2025-12-31,보건복지부 노인 의료돌봄 통합지원 시범사업
경기도,부천시,2023-07-01,2025-12-31,보건복지부 노인 의료돌봄 통합지원 시범사업
경기도,안산시,2023-07-01,2025-12-31,보건복지부 노인 의료돌봄 통합지원 시범사업
충청북도,진천군,2023-07-01,2025-12-31,보건복지부 노인 의료돌봄 통합지원 시범사업
충청남도,천안시,2023-07-01,2025-12-31,보건복지부 노인 의료돌봄 통합지원 시범사업
전라북도,전주시,2023-07-01,2025-12-31,보건복지부 노인 의료돌봄 통합지원 시범사업
전라남도,여수시,2023-07-01,2025-12-31,보건복지부 노인 의료돌봄 통합지원 시범사업
경상북도,의성군,2023-07-01,2025-12-31,보건복지부 노인 의료돌봄 통합지원 시범사업
경상남도,김해시,2023-07-01,2025-12-31,보건복지부 노인 의료돌봄 통합지원 시범사업
